SITE_ID,SPRING,SUMMER,FALL
AT-Neu,NA,NA,NA
AU-DaP,"c(2006, 2013)","c(2006, 2013)","c(2006, 2013)"
AU-DaS,NA,"c(2007, 2014)",NA
AU-Dry,"c(2007, 2013)","c(2007, 2014)",c(2007)
AU-How,c(2006),"c(2000, 2006, 2014)",c(2000)
AU-Stp,NA,"c(2007, 2014)",c(2007)
AU-Tum,c(2012),"c(2000, 2014)",c(2012)
BE-Bra,"c(1996, 1997, 1998, 2003)","c(1996, 1997, 1998, 2003)","c(1996, 1997, 1998, 2003)"
BE-Vie,"c(1996, 2009)",c(1996),NA
BR-Sa1,NA,NA,NA
CA-Gro,c(2003),"c(2003, 2014)",c(2014)
CA-Man,"c(1994, 2004:2006)",c(2004:2006),c(2004:2005)
CA-Oas,c(1996),NA,NA
CA-Obs,1997:1999,1997:1998,1997:1998
CA-Qfo,c(2003),c(2003),NA
CA-TP1,"c(2002, 2014)","c(2002, 2014)","c(2002, 2006)"
CA-TP3,c(2002),c(2002),c(2002)
CA-TP4,c(2002),c(2002),c(2002)
CH-Cha,"c(2005, 2009, 2012)","c(2005, 2009)",NA
CH-Dav,c(2005),c(2005),NA
CH-Fru,c(2005),c(2005),c(2009)
CH-Lae,c(2004),NA,NA
CH-Oe1,c(2008),NA,NA
CZ-BK1,NA,NA,NA
CZ-BK2,2004:2006,2004:2006,2004:2006
CZ-wet,c(2006),NA,NA
DE-Gri,NA,NA,NA
DE-Hai,NA,NA,NA
DE-Lnf,"c(2002, 2007:2009)",2007:2009,2007:2009
DE-Obe,NA,NA,NA
DE-Tha,c(1996),c(1996),NA
DK-Sor,"c(1996, 2014)",NA,NA
ES-LJu,"c(2004, 2005)",NA,NA
FI-Hyy,c(1996),NA,NA
FI-Sod,c(2002),NA,NA
FR-Fon,c(2014),NA,NA
FR-LBr,"c(1996, 1998, 2000)",c(1999),c(1999)
FR-Pue,c(2000),c(2000),NA
GF-Guy,NA,NA,NA
GL-NuF,NA,NA,NA
GL-ZaH,NA,NA,NA
IT-Col,"c(1996, 2003, 2004, 2006)",c(2002),NA
IT-Cpz,"c(1997:1999, 2009)","c(1997:1999, 2009)","c(1997:1999, 2009)"
IT-Lav,NA,NA,NA
IT-MBo,NA,NA,NA
IT-Noe,NA,c(2011),c(2014)
IT-Ren,"c(1998, 2000, 2001, 2004)","c(1998, 2000, 2001, 2004)","c(1998, 2000, 2001, 2004)"
IT-Ro1,"c(2000, 2007)",NA,c(2007)
IT-Ro2,c(2009),c(2009),c(2009)
IT-SRo,NA,c(2005),c(2008)
IT-Tor,c(2008),NA,NA
MY-PSO,NA,NA,NA
NL-Hor,c(2006),NA,c(2011)
NL-Loo,c(1996),c(1996),NA
RU-Cok,NA,NA,NA
RU-Fyo,c(1998),NA,NA
US-Blo,1997:1999,c(2007),c(1997)
US-Cop,"c(2004, 2005)","c(2004, 2005)","c(2004, 2005)"
US-GBT,NA,NA,NA
US-GLE,c(2004),c(2004),c(2004)
US-Ha1,c(1991),c(1991),c(1991)
US-IB2,c(2004),c(2004),NA
US-Los,"c(2000, 2007:2013)","c(2000, 2009, 2011:2013)",2007:2013
US-Me2,"c(2003, 2006)",NA,NA
US-MMS,NA,NA,NA
US-NR1,"c(1998, 1999)",c(1998),c(1998)
US-Oho,NA,NA,NA
US-PFa,"c(1995, 1996)",c(1995),c(1995)
US-SRC,NA,c(2013),c(2014)
US-SRG,NA,NA,NA
US-SRM,NA,NA,NA
US-Syv,"c(2001, 2007:2013)","c(2001, 2007:2011)",2007:2011
US-Ton,c(2001),NA,NA
US-UMB,NA,NA,NA
US-UMd,c(2007),NA,NA
US-Var,c(2000),c(2000),c(2000)
US-WCr,2007:2010,2007:2010,2007:2010
US-Whs,c(2007),NA,NA
US-Wkg,c(2004),NA,NA
ZM-Mon,NA,NA,NA
